mux,port,ipv4,ipv6
amsterdam01,47065,100.69.128.5,2804:269c:ff00:5:1::5
clemson01,47066,100.80.128.3,2804:269c:ff00:10:1::3
grnet01,47067,100.73.128.2,2804:269c:ff00:9:1::2
isi01,47068,100.66.128.4,2804:269c:ff00:2:1::4
neu01,47069,100.78.128.4,2804:269c:ff00:e:1::4
phoenix01,47070,100.68.128.2,2804:269c:ff00:4:1::2
seattle01,47071,100.65.128.4,2804:269c:ff00:1:1::4
ufmg01,47072,100.71.128.3,2804:269c:ff00:7:1::3
uw01,47073,100.74.128.2,2804:269c:ff00:a:1::2
gatech01,0,0,0
utah01,0,0,0
sbu01,0,0,0
usc01,0,0,0
wisc01,0,0,0
cornell01,0,0,0
